kgID	mRNA	geneSymbol	refseq
uc002cqc.1	NR_003574	ABCA17P	NR_003574
uc002cqa.1	DQ660314	ABCA17P	-
uc002cqb.1	BC042853	ABCA17P	-
uc022bpy.1	NM_001606	ABCA2	NM_001606
uc022bpz.1	CCDS43909	ABCA2	NM_001606
uc011mem.1	AB384556	ABCA2	NM_001606
uc004ckm.1	NM_212533	ABCA2	NM_212533
uc004ckl.1	AF327657	ABCA2	-
uc004ckn.1	AL833967	ABCA2	-
uc004cko.1	BC029282	ABCA2	-
uc010nca.3	AK308738	ABCA2	-
uc022bqa.1	JF279960	ABCA2	-
uc002cpy.1	NM_001089	ABCA3	NM_001089
uc010bsk.1	AB210044	ABCA3	NM_001089
uc010bsl.1	AK310864	ABCA3	NM_001089
uc002cpz.1	BC062779	ABCA3	-
uc001dqh.3	NM_000350	ABCA4	NM_000350
uc010otn.1	AK295818	ABCA4	NM_000350
uc001dqi.1	U66691	ABCA4	-
uc009wdp.1	AK310492	ABCA4	-
uc002jif.2	NM_018672	ABCA5	NM_018672
uc002jig.2	NM_172232	ABCA5	NM_172232
uc002jic.2	AK056533	ABCA5	NM_172232
uc010dfe.2	AK292592	ABCA5	NM_172232
uc002jih.2	AJ512612	ABCA5	NM_172232
uc002jib.2	AK122803	ABCA5	NM_172232
uc002jie.2	BX640746	ABCA5	-
uc002jid.2	AK094416	ABCA5	-
uc002jhw.1	NM_080284	ABCA6	NM_080284
uc002jhy.3	BC070125	ABCA6	-
uc002lqw.4	NM_019112	ABCA7	NM_019112
uc010dsb.1	AB055390	ABCA7	NM_019112
uc002lqy.3	AK097344	ABCA7	-
uc010dsc.3	AL137481	ABCA7	-
uc010dsa.3	AK301108	ABCA7	-
uc002jhp.3	NM_007168	ABCA8	NM_007168
uc002jhq.3	BC143971	ABCA8	NM_007168
uc010wqq.2	BC143972	ABCA8	NM_007168
uc010wqr.2	AK304286	ABCA8	NM_007168
uc002jhr.3	AK295876	ABCA8	NM_007168
uc002jhs.3	BC047765	ABCA8	-
uc002jht.3	BC024003	ABCA8	-
uc002jhu.3	NM_080283	ABCA9	NM_080283
uc010dez.3	CR627382	ABCA9	NM_080283
uc002jhv.3	BC062472	ABCA9	-
uc003uiz.2	NM_000927	ABCB1	NM_000927
uc011khc.2	EU854148	ABCB1	NM_000927
uc003uja.2	AY425005	ABCB1	-
uc010lei.2	AY425006	ABCB1	-
uc001htp.4	NM_012089	ABCB10	NM_012089
uc002ueo.1	NM_003742	ABCB11	NM_003742
uc010zdb.1	AK302540	ABCB11	NM_003742
uc010zda.1	AK303050	ABCB11	NM_003742
uc003uiw.1	NM_000443	ABCB4	NM_000443
uc003uiv.1	NM_018849	ABCB4	NM_018849
uc003uix.1	NM_018850	ABCB4	NM_018850
uc003uiy.3	BC020618	ABCB4	-
uc010kuh.3	NM_001163941	ABCB5	NM_001163941
uc003suv.4	NM_001163942	ABCB5	NM_001163942
uc011jyi.1	NM_001163993	ABCB5	NM_001163993
uc003suw.4	NM_178559	ABCB5	NM_178559
uc003sux.1	AY785909	ABCB5	-
uc002vkc.2	NM_005689	ABCB6	NM_005689
uc010fwe.2	AK057026	ABCB6	NM_005689
uc010zku.1	AK303230	ABCB6	-
uc004eca.4	NM_001271696	ABCB7	NM_001271696
uc010nlt.4	NM_001271697	ABCB7	NM_001271697
uc011mqn.3	NM_001271698	ABCB7	NM_001271698
uc010nls.4	NM_001271699	ABCB7	NM_001271699
uc004ebz.4	NM_004299	ABCB7	NM_004299
uc003wik.4	NM_007188	ABCB8	NM_007188
uc003wil.4	AK002018	ABCB8	NM_007188
uc010lpx.3	BC141836	ABCB8	NM_007188
uc003wii.2	AK128129	ABCB8	NM_007188
uc011kvd.2	AK294344	ABCB8	-
uc003wim.4	AK094005	ABCB8	-
uc010lpw.1	AK310796	ABCB8	-
uc010taj.2	NM_001243013	ABCB9	NM_001243013
uc021rfo.1	NM_001243014	ABCB9	NM_001243014
uc021rfq.1	BC064384	ABCB9	NM_001243014
